1989	10272651
1990	9909689
1991	9445615
1992	10273448
1993	10765767
1994	12251222
1995	13261612
1996	13705230
1997	14925871
1998	14310801
1999	13076162
2000	14363328
2001	15224901
2002	15910452
2003	19156636
2004	25536519
2005	30537218
2006	35697868
2007	42927074
2008	55167603
2009	43779766
2010	58774732
2011	74708942
2012	70955190
2013	72369496
2014	67141777
2015	57504276
2016	55280056
